En Python, quelle fonction permet d'obtenir la partie entière d'une division ?; //; /; abs; int; 1; In Python, which function is used to get the integer part of a division?; //; /; abs; int; 1; Python 中用于获取除法的整数部分的函数是什么？ ; //; /; abs; int; 1;
En Python, quel est le résultat de 3 * 2 + 5 ?; 11; 7; 10; 9; 1; In Python, what is the result of 3 * 2 + 5?; 11; 7; 10; 9; 1; Python 中 3 * 2 + 5 的结果是什么？ ; 11; 7; 10; 9; 1;
En Python, quelle est la sortie de pow(2, 3) ?; 8; 4; 6; 9; 1; In Python, what is the output of pow(2, 3)?; 8; 4; 6; 9; 1; Python 中 pow(2, 3) 的输出是什么？ ; 8; 4; 6; 9; 1;
En Python, quelle est la sortie de round(5.55) ?; 6; 5; 5.5; 6.0; 1; In Python, what is the output of round(5.55)?; 6; 5; 5.5; 6.0; 1; Python 中 round(5.55) 的输出是什么？ ; 6; 5; 5.5; 6.0; 1;
En Python, quel est le résultat de abs(-3.5) ?; 3.5; 3; -3.5; 5; 1; In Python, what is the result of abs(-3.5)?; 3.5; 3; -3.5; 5; 1; Python 中 abs(-3.5) 的结果是什么？ ; 3.5; 3; -3.5; 5; 1;
En Python, quelle est la sortie de print(10 / 3) ?; 3.3333333333333335; 3; 4; 2; 1; In Python, what is the output of print(10 / 3)?; 3.3333333333333335; 3; 4; 2; 1; Python 中 print(10 / 3) 的输出是什么？ ; 3.3333333333333335; 3; 4; 2; 1;
En Java, quelle méthode permet de générer un nombre aléatoire entre 0 et 1 ?; Math.random(); random(); rand(); generate(); 1; In Java, which method generates a random number between 0 and 1?; Math.random(); random(); rand(); generate(); 1; 在 Java 中，哪个方法生成 0 到 1 之间的随机数？ ; Math.random(); random(); rand(); generate(); 1;
Quel est le résultat de print(10 // 3) en Python ?; 3; 2; 3.33; 4; 1; What is the result of print(10 // 3) in Python?; 3; 2; 3.33; 4; 1; Python 中 print(10 // 3) 的结果是什么？ ; 3; 2; 3.33; 4; 1;
Quel est le résultat de print(5 * 2 - 8) en Python ?; 2; 0; 1; 5; 1; What is the result of print(5 * 2 - 8) in Python?; 2; 0; 1; 5; 1; Python 中 print(5 * 2 - 8) 的结果是什么？ ; 2; 0; 1; 5; 1;
En Python, quel est le résultat de 3 + 2 * 5 ?; 13; 10; 12; 15; 1; In Python, what is the result of 3 + 2 * 5?; 13; 10; 12; 15; 1; Python 中 3 + 2 * 5 的结果是什么？ ; 13; 10; 12; 15; 1;
En Python, quelle méthode calcule la racine carrée d'un nombre ?; sqrt; pow; abs; round; 1; In Python, which method calculates the square root of a number?; sqrt; pow; abs; round; 1; Python 中哪个方法计算数字的平方根？ ; sqrt; pow; abs; round; 1;
Quel est le résultat de round(5.3) en Python ?; 5; 6; 5.0; 4; 1; What is the result of round(5.3) in Python?; 5; 6; 5.0; 4; 1; Python 中 round(5.3) 的结果是什么？ ; 5; 6; 5.0; 4; 1;
En Python, quel est le résultat de pow(4, 2) ?; 16; 4; 8; 2; 1; In Python, what is the result of pow(4, 2)?; 16; 4; 8; 2; 1; Python 中 pow(4, 2) 的结果是什么？ ; 16; 4; 8; 2; 1;
Que fait la fonction print() en Python ?; Crée une variable; Affiche du texte à l'écran; Calcule une opération; Convertit une chaîne de caractères en entier; 2; What does the print() function do in Python?; Creates a variable; Displays text on the screen; Calculates an operation; Converts a string to an integer; 2; Python 中的 print() 函数是用来做什么的？ ; 创建一个变量; 在屏幕上显示文本; 计算一个操作; 将字符串转换为整数; 2;
Que signifie l'opérateur == en Python ?; Comparaison d'égalité; Addition; Soustraction; Multiplication; 1; What does the == operator mean in Python?; Equality comparison; Addition; Subtraction; Multiplication; 1; Python 中的 == 运算符是什么意思？ ; 相等比较; 加法; 减法; 乘法; 1;
En scratch, quelle est la couleur du bloc "dire" ?; Jaune; Vert; Bleu; Violet; 4; In scratch, what is the color of the "say" block?; Yellow; Green; Blue; Purple; 4; 在 scratch 中，“说” 块的颜色是什么？ ; 黄色; 绿色; 蓝色; 紫色; 4;

